network_id,iteration,num_agents,skill_type,source,target,weight
1,1,75,S,S_1,S_14,10
1,1,75,S,S_1,S_21,10
1,1,75,S,S_1,S_25,10
1,1,75,S,S_1,S_27,10
1,1,75,S,S_1,S_28,10
1,1,75,S,S_1,S_43,10
1,1,75,S,S_1,S_53,10
1,1,75,S,S_1,S_54,10
1,1,75,S,S_1,S_64,10
1,1,75,S,S_1,S_66,10
1,1,75,S,S_1,S_68,10
1,1,75,S,S_1,S_75,10
1,1,75,S,S_1,S_9,10
1,1,75,S,S_1,S_12,10
1,1,75,S,S_1,S_13,10
1,1,75,S,S_1,S_34,10
1,1,75,S,S_1,S_48,10
1,1,75,S,S_2,S_33,10
1,1,75,S,S_2,S_45,10
1,1,75,S,S_2,S_53,10
1,1,75,S,S_2,S_24,10
1,1,75,S,S_2,S_26,10
1,1,75,S,S_2,S_38,10
1,1,75,S,S_2,S_43,10
1,1,75,S,S_2,S_49,10
1,1,75,S,S_2,S_56,10
1,1,75,S,S_2,S_61,10
1,1,75,S,S_3,S_6,10
1,1,75,S,S_3,S_10,10
1,1,75,S,S_3,S_16,10
1,1,75,S,S_3,S_39,10
1,1,75,S,S_3,S_67,10
1,1,75,S,S_3,S_19,10
1,1,75,S,S_3,S_47,10
1,1,75,S,S_3,S_52,10
1,1,75,S,S_4,S_6,10
1,1,75,S,S_4,S_48,10
1,1,75,S,S_4,S_67,10
1,1,75,S,S_4,S_12,10
1,1,75,S,S_4,S_47,10
1,1,75,S,S_4,S_69,10
1,1,75,S,S_4,S_72,10
1,1,75,S,S_5,S_23,10
1,1,75,S,S_5,S_31,10
1,1,75,S,S_5,S_46,10
1,1,75,S,S_5,S_54,10
1,1,75,S,S_5,S_68,10
1,1,75,S,S_5,S_70,10
1,1,75,S,S_5,S_8,10
1,1,75,S,S_5,S_37,10
1,1,75,S,S_6,S_14,10
1,1,75,S,S_6,S_16,10
1,1,75,S,S_6,S_25,10
1,1,75,S,S_6,S_41,10
1,1,75,S,S_6,S_48,10
1,1,75,S,S_6,S_67,10
1,1,75,S,S_6,S_7,10
1,1,75,S,S_6,S_12,10
1,1,75,S,S_6,S_40,10
1,1,75,S,S_6,S_43,10
1,1,75,S,S_6,S_53,10
1,1,75,S,S_7,S_14,10
1,1,75,S,S_7,S_18,10
1,1,75,S,S_7,S_35,10
1,1,75,S,S_7,S_51,10
1,1,75,S,S_7,S_74,10
1,1,75,S,S_7,S_75,10
1,1,75,S,S_7,S_55,10
1,1,75,S,S_8,S_15,10
1,1,75,S,S_8,S_66,10
1,1,75,S,S_8,S_70,10
1,1,75,S,S_8,S_25,10
1,1,75,S,S_8,S_28,10
1,1,75,S,S_8,S_44,10
1,1,75,S,S_8,S_46,10
1,1,75,S,S_8,S_51,10
1,1,75,S,S_8,S_55,10
1,1,75,S,S_8,S_74,10
1,1,75,S,S_9,S_42,10
1,1,75,S,S_9,S_64,10
1,1,75,S,S_9,S_65,10
1,1,75,S,S_9,S_18,10
1,1,75,S,S_9,S_21,10
1,1,75,S,S_9,S_34,10
1,1,75,S,S_9,S_52,10
1,1,75,S,S_9,S_57,10
1,1,75,S,S_9,S_72,10
1,1,75,S,S_9,S_73,10
1,1,75,S,S_10,S_19,10
1,1,75,S,S_10,S_23,10
1,1,75,S,S_10,S_25,10
1,1,75,S,S_10,S_37,10
1,1,75,S,S_10,S_65,10
1,1,75,S,S_10,S_69,10
1,1,75,S,S_10,S_14,10
1,1,75,S,S_10,S_36,10
1,1,75,S,S_10,S_46,10
1,1,75,S,S_10,S_70,10
1,1,75,S,S_11,S_52,10
1,1,75,S,S_11,S_72,10
1,1,75,S,S_11,S_13,10
1,1,75,S,S_11,S_28,10
1,1,75,S,S_11,S_31,10
1,1,75,S,S_11,S_54,10
1,1,75,S,S_11,S_69,10
1,1,75,S,S_12,S_18,10
1,1,75,S,S_12,S_19,10
1,1,75,S,S_12,S_23,10
1,1,75,S,S_12,S_34,10
1,1,75,S,S_12,S_35,10
1,1,75,S,S_12,S_53,10
1,1,75,S,S_12,S_56,10
1,1,75,S,S_12,S_68,10
1,1,75,S,S_12,S_46,10
1,1,75,S,S_12,S_51,10
1,1,75,S,S_12,S_67,10
1,1,75,S,S_12,S_70,10
1,1,75,S,S_13,S_43,10
1,1,75,S,S_13,S_45,10
1,1,75,S,S_13,S_46,10
1,1,75,S,S_13,S_14,10
1,1,75,S,S_13,S_30,10
1,1,75,S,S_14,S_35,10
1,1,75,S,S_14,S_68,10
1,1,75,S,S_14,S_55,10
1,1,75,S,S_15,S_36,10
1,1,75,S,S_15,S_37,10
1,1,75,S,S_15,S_58,10
1,1,75,S,S_15,S_63,10
1,1,75,S,S_15,S_18,10
1,1,75,S,S_15,S_26,10
1,1,75,S,S_15,S_51,10
1,1,75,S,S_16,S_56,10
1,1,75,S,S_16,S_63,10
1,1,75,S,S_16,S_23,10
1,1,75,S,S_16,S_26,10
1,1,75,S,S_16,S_34,10
1,1,75,S,S_16,S_37,10
1,1,75,S,S_16,S_62,10
1,1,75,S,S_16,S_66,10
1,1,75,S,S_16,S_74,10
1,1,75,S,S_17,S_21,10
1,1,75,S,S_17,S_27,10
1,1,75,S,S_17,S_64,10
